OBJECTID,ENABLED,ASSETID,SERVICEID,PIPE_ID,CLASS,PIPE_SUBTYPE,UP_STRUCT,DN_STRUCT,PIPE_LABEL,REMARKS,ENG_DIST,BASIN,UP_INV,DN_INV,PIPE_LENG,SLOPE_PCT,PIPE_SIZE,PIPE_WIDTH,PIPE_MAT,PIPE_SHAPE,REHAB,STREET,BLOCK,LINER,C_SLOPE,C_UP_INV,C_DN_INV,C_PIPE_LEN,UP_STA_100,UP_STA_PLS,DN_STA_100,DN_STA_PLS,YEAR_INST,NO_LAT,GRV_FM,EASEMENT,PIPE_STATUS,COMMENTS,WYE_CON,MON_INST,PLAN1,PLAN2,PROF,WYEMAP,HR_VER,PCT_ENTRY,WYE_MAT,WYE_DIAM,WYE_LENG,WYE_UPDATE,EST_UPINV,EST_DNINV,EST_MATL,LINER_DATE,EST_YEAR,EST_YR_LEV,SLOPE2,V_CURVE,PCT_ENTRY2,CAPACITY,SYSTEM,TRTMNT_LOC,OWNER,CRTN_DT,LAST_UPDATE,USER_ID,VDATUM,UP_MH,DN_MH,SAN_PIPE_ID,LAYER,Shape_Length,TOOLTIP,NLA_URL,CLASS_DESC,ENG_DIST_DESC,REHAB_DESC,GRV_FM_DESC,HR_VER_DESC,SYSTEM_DESC,TRTMNT_LOC_DESC,OWNER_DESC,MATERIAL_DESCRIPTION,PIPE_SUBTYPE_DESC,PIPE_STATUS_DESC
2001,True,1779717,,4420113444201146A,Major Outfall or Interceptor,1,44201134,44201146,A,,Valley,E15,628.24,626,703.4,0.0032,48,0,RCP,Circular,No,RIVERSIDE DR,14200,,NO,N,N,N,7,3.4,0,0,1981,0,Gravity,No,F,E.V.R.S./ UNIT D,0,10,D-26541,,D-26541,969-C,Horizontal,No,,0,834,Y,N,N,N,,N,,0,No,,75.45278,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-08-22T00:00:00.000Z,RZGARCIA,,44201134,44201135,4420113444201135A,1,258.830414,OUTFALL PIPES BY SIZE \nPipe ID: 4420113444201146A,navigatela/reports/wastewater_pipes.cfm?PK=4420113444201146A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2002,True,1779718,,4420114644201135A,Major Outfall or Interceptor,1,44201146,44201135,A,,Valley,E15,626,625.55,143.79,0.0032,48,0,RCP,Circular,No,RIVERSIDE DR,14200,L,NO,N,N,N,92,61.79,91,18,1981,0,Gravity,No,F,E.V.R.S./ UNIT C,0,12,D-26540,,D-26540,968-D,Horizontal,No,,0,834,Y,N,N,N,,N,,0,No,,75.45278,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-08-22T00:00:00.000Z,RZGARCIA,,44201134,44201135,4420113444201135A,1,52.910209,OUTFALL PIPES BY SIZE \nPipe ID: 4420114644201135A,navigatela/reports/wastewater_pipes.cfm?PK=4420114644201135A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2003,True,1779745,,4430114244302165A,Major Outfall or Interceptor,1,44301142,44302165,A,,Valley,E01,588.37,581.18,836,0.0087,39,0,VCP,Circular,No,RIVERSIDE DR,,,NO,,,,116,49,108,13,1981,0,Gravity,No,F,E.V.R.S./ UNIT A,0,12,D-26538,,D-26538,1352-B,,No,,0,0,,,,,,,,0,No,,0,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44301142,44302165,4430114244302165A,1,307.617262,OUTFALL PIPES BY SIZE \nPipe ID: 4430114244302165A,navigatela/reports/wastewater_pipes.cfm?PK=4430114244302165A,Major Outfall or Interceptor,Valley,No,Gravity,,East Valley Relief Sewer,,,Vitrified Clay Pipe,Gravity,As Built
2004,True,1779747,,4420317244204174A,Major Outfall or Interceptor,1,44203172,44204174,A,,Valley,E15,610.03,609.32,353.91,0.002,54,0,RCP,Circular,No,RIVERSIDE DR,12600,,NO,N,N,N,72,94.95,69,41.04,1981,0,Gravity,No,F,E.V.R.S.(MULTIPLE SLOPES),0,03,D-26539,,D-26539,1026-B,,No,,0,663,Y,N,N,N,,N,,0,No,,70.72169,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44203172,44204167,4420317244204167A,1,130.524057,OUTFALL PIPES BY SIZE \nPipe ID: 4420317244204174A,navigatela/reports/wastewater_pipes.cfm?PK=4420317244204174A,Major Outfall or Interceptor,Valley,No,Gravity,,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2005,True,1779748,,4420417444204167A,Major Outfall or Interceptor,1,44204174,44204167,A,,Valley,E15,609.32,609.01,322.99,0.0017,54,0,RCP,Circular,No,RIVERSIDE DR,12600,,NO,N,N,N,69,41.04,66,18.05,1981,0,Gravity,No,F,E.V.R.S.(MULTIPLE SLOPES),0,03,D-26539,,D-26539,1059-A,Horizontal,No,,0,663,Y,N,N,N,,N,,0,No,,70.72169,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44203172,44204167,4420317244204167A,1,118.682876,OUTFALL PIPES BY SIZE \nPipe ID: 4420417444204167A,navigatela/reports/wastewater_pipes.cfm?PK=4420417444204167A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2006,True,1779831,,4450600144506013A,Major Outfall or Interceptor,1,44506001,44506013,A,,Central,P21,437.16,435.7,460.02,0.0025,52,0,CON,Burns & McDonald,No,SAN FERNANDO RD,5000,,NO,F,F,F,162,99.02,158,39,1926,0,Gravity,Yes,F,NORTH OUTFALL SEWER,0,04,DL-928,,P-4485,7068-7,Horizontal,Yes,CON,8,-99,T,T,T,F,,F,,,No,,74.5,NCOSNOS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44506001,44506013,4450600144506013A,1,169.110671,OUTFALL PIPES BY SIZE \nPipe ID: 4450600144506013A,navigatela/reports/wastewater_pipes.cfm?PK=4450600144506013A,Major Outfall or Interceptor,Central,No,Gravity,Horizontal,North Central Outfall Sewer / North Outfall Sewer,,,Concrete or Cement,Gravity,As Built
2007,True,1779834,,4450601344506004A,Major Outfall or Interceptor,1,44506013,44506004,A,,Central,P21,435.7,435.69,6.41,0.0025,52,0,CON,Burns & McDonald,No,SAN FERNANDO RD,5000,,NO,F,F,F,158,39,158,32.59,1926,0,Gravity,Yes,F,NORTH OUTFALL SEWER,0,04,DL-928,,P-4485,7068-7,,Yes,CON,8,-99,T,T,T,F,,F,,0,No,,74.5,NCOSNOS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44506013,44506004,4450601344506004A,1,2.469909,OUTFALL PIPES BY SIZE \nPipe ID: 4450601344506004A,navigatela/reports/wastewater_pipes.cfm?PK=4450601344506004A,Major Outfall or Interceptor,Central,No,Gravity,,North Central Outfall Sewer / North Outfall Sewer,,,Concrete or Cement,Gravity,As Built
2008,True,1780980,,4420801744208099A,Major Outfall or Interceptor,1,44208017,44208099,A,,Valley,E15,595.21,594.21,241.92,0.0042,48,0,RCP,Circular,No,LAUREL CANYON BLVD R/W,4400,,NO,N,N,N,90,47.43,88,5.51,1959,0,Gravity,Yes,F,"V.O.R.S./ SEC ""B""",0,12,D-14182,,D-14182,165-165-2,Horizontal,No,RCP,48,696.200012,Y,N,N,N,,N,,0,No,,86.44202,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44208017,44208099,4420801744208099A,1,87.489327,OUTFALL PIPES BY SIZE \nPipe ID: 4420801744208099A,navigatela/reports/wastewater_pipes.cfm?PK=4420801744208099A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2009,True,1780979,,4420809944208032A,Major Outfall or Interceptor,1,44208099,44208032,A,,Valley,E15,593.92,592.78,454.3,0.0025,54,0,RCP,Circular,No,LAUREL CANYON BLVD R/W,4400,,NO,N,N,N,88,5.51,83,51.21,1959,0,Gravity,Yes,F,"V.O.R.S./ SEC ""B""",0,12,D-14182,,D-14182,165-165-2,Horizontal,No,RCP,48,696.200012,Y,N,N,N,,N,,0,No,,86.44202,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44208099,44208032,4420809944208032A,1,171.422884,OUTFALL PIPES BY SIZE \nPipe ID: 4420809944208032A,navigatela/reports/wastewater_pipes.cfm?PK=4420809944208032A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2010,True,1780983,,4420414144204179A,Major Outfall or Interceptor,1,44204141,44204179,A,,Valley,E15,600.83,599.71,262.41,0.0042,48,0,RCP,Circular,No,LAURELGROVE AVE R/W,4500,,NO,N,N,N,103,80.63,101,18.22,1959,0,Gravity,Yes,F,"V.O.R.S./ SEC ""B""",0,12,D-14182,,D-14182,1059-C,,No,RCP,48,511.899994,Y,N,N,N,,Y,1,0,No,,86.44202,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44204141,44204159,4420414144204159A,1,98.003256,OUTFALL PIPES BY SIZE \nPipe ID: 4420414144204179A,navigatela/reports/wastewater_pipes.cfm?PK=4420414144204179A,Major Outfall or Interceptor,Valley,No,Gravity,,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
