dates,times,flow
6/4/14,9:04:30,0
6/4/14,9:04:41,5.3562
6/4/14,9:04:44,12.3274
6/4/14,9:04:57,6.6416
6/4/14,9:05:01,12.8053
6/4/14,9:05:08,7.614
6/4/14,9:05:12,0
6/4/14,9:06:17,5.2243
6/4/14,9:06:23,0
6/4/14,9:07:16,8.9819
6/4/14,9:07:20,1.2196
6/4/14,9:07:40,6.7735
6/4/14,9:07:41,0
6/4/14,9:08:06,6.2131
6/4/14,9:08:39,0
6/4/14,9:13:31,6.0813
6/4/14,9:13:50,0
6/4/14,9:14:04,6.0648
6/4/14,9:14:11,0
6/4/14,9:14:56,5.4056
6/4/14,9:15:14,0
6/4/14,9:15:24,5.9495
6/4/14,9:15:40,0
6/4/14,9:15:57,5.521
6/4/14,9:15:58,0
6/4/14,9:16:16,6.0483
6/4/14,9:16:27,0
6/4/14,9:16:54,5.521
6/4/14,9:17:02,0
6/4/14,9:19:06,7.2844
6/4/14,9:19:09,0
6/4/14,10:03:37,0
6/4/14,10:04:27,5.6693
6/4/14,10:04:33,0
6/4/14,10:04:41,5.2738
6/4/14,10:04:44,0
6/4/14,10:07:36,5.1749
6/4/14,10:08:07,0
6/4/14,10:08:45,6.5922
6/4/14,10:08:48,0
6/4/14,10:09:29,5.2078
6/4/14,10:09:35,0
6/4/14,10:09:54,5.2243
6/4/14,10:09:59,0
6/4/14,10:10:24,5.3726
6/4/14,10:10:32,0
6/4/14,10:10:52,9.1796
6/4/14,10:11:11,0
6/4/14,10:11:24,6.4274
6/4/14,10:11:25,13.4316
6/4/14,10:11:42,1.3184
6/4/14,10:11:44,15.3269
6/4/14,10:11:48,9.5422
6/4/14,10:11:52,2.1919
6/4/14,10:12:05,8.5204
6/4/14,10:12:09,3.1807
6/4/14,10:18:56,9.7235
6/4/14,10:19:04,15.4422
6/4/14,10:19:08,10.2179
6/4/14,10:19:12,3.8729
6/4/14,10:19:27,30.4724
6/4/14,10:19:29,12.8383
6/4/14,10:19:30,5.2243
6/4/14,10:19:31,0
6/4/14,10:19:33,112.0344
6/4/14,10:19:34,132.8658
6/4/14,10:19:36,150.7471
6/4/14,10:19:37,141.9465
6/4/14,10:19:39,167.5737
6/4/14,10:19:41,161.6078
6/4/14,10:19:43,156.4988
6/4/14,10:19:46,144.534
6/4/14,10:19:47,113.4518
6/4/14,10:19:48,103.135
6/4/14,10:19:49,114.935
6/4/14,10:19:50,100.8277
6/4/14,10:19:51,105.9696
6/4/14,10:19:54,113.2045
6/4/14,10:19:55,100.8606
6/4/14,10:19:56,54.8306
6/4/14,10:19:57,29.2529
6/4/14,10:19:58,17.4034
6/4/14,10:19:59,10.152
6/4/14,10:20:03,4.7299
6/4/14,10:23:38,24.2758
6/4/14,10:23:39,97.8942
6/4/14,10:23:40,160.1575
6/4/14,10:23:41,202.5124
6/4/14,10:23:42,218.0864
6/4/14,10:23:44,249.0862
6/4/14,10:23:45,270
6/4/14,10:24:30,261.0511
6/4/14,10:24:31,252.4318
6/4/14,10:24:34,259.2712
6/4/14,10:24:36,264.957
6/4/14,10:24:41,255.4148
6/4/14,10:24:43,260.6226
6/4/14,10:25:50,254.8215
6/4/14,10:26:21,260.7709
6/4/14,10:26:36,268.7475
6/4/14,10:26:39,262.0729
6/4/14,10:26:43,257.0298
6/4/14,10:26:51,262.5673
6/4/14,10:26:56,225.4697
6/4/14,10:26:59,247.2404
6/4/14,10:27:00,256.6673
6/4/14,10:27:34,243.0544
6/4/14,10:27:35,229.2437
6/4/14,10:27:38,251.9044
6/4/14,10:27:43,257.2441
6/4/14,10:27:47,264.4955
6/4/14,10:27:48,259.469
6/4/14,10:27:49,251.6242
6/4/14,10:27:51,230.3974
6/4/14,10:27:52,250.965
6/4/14,10:27:53,256.486
